Year,State,ProducerType,FuelSource,Nameplate_Capacity_(Megawatts),Summer_Capacity_(Megawatts)
2003,CO,"Electric Generators, Independent Power Producers",Wind,197,175
2003,CO,Total Electric Power Industry,All Sources,"11,594.00","10,370.00"
2003,CO,Total Electric Power Industry,Coal,"5,309.00","4,931.00"
2003,CO,Total Electric Power Industry,Hydroelectric,636,639
2003,CO,Total Electric Power Industry,Natural Gas,"4,670.00","3,833.00"
2003,CO,Total Electric Power Industry,Other Biomass,15,10
2003,CO,Total Electric Power Industry,Petroleum,235,195
2003,CO,Total Electric Power Industry,Pumped Storage,509,563
2003,CO,Total Electric Power Industry,Wind,221,199
2003,CT,"Combined Heat and Power, Commercial Power",All Sources,10,8
2003,CT,"Combined Heat and Power, Commercial Power",Natural Gas,10,8
2003,CT,"Combined Heat and Power, Electric Power",All Sources,348,289
2003,CT,"Combined Heat and Power, Electric Power",Coal,214,181
2003,CT,"Combined Heat and Power, Electric Power",Natural Gas,134,108
2003,CT,"Combined Heat and Power, Industrial Power",All Sources,81,72
2003,CT,"Combined Heat and Power, Industrial Power",Natural Gas,78,70
2003,CT,"Combined Heat and Power, Industrial Power",Other,3,1
2003,CT,"Electric Generators, Electric Utilities",All Sources,234,210
2003,CT,"Electric Generators, Electric Utilities",Hydroelectric,9,9
2003,CT,"Electric Generators, Electric Utilities",Petroleum,225,201
2003,CT,"Electric Generators, Independent Power Producers",All Sources,"7,563.00","6,995.00"
2003,CT,"Electric Generators, Independent Power Producers",Coal,400,372
2003,CT,"Electric Generators, Independent Power Producers",Hydroelectric,133,137
2003,CT,"Electric Generators, Independent Power Producers",Natural Gas,"1,782.00","1,499.00"
2003,CT,"Electric Generators, Independent Power Producers",Nuclear,"2,163.00","1,997.00"
2003,CT,"Electric Generators, Independent Power Producers",Other,31,26
2003,CT,"Electric Generators, Independent Power Producers",Other Biomass,223,228
2003,CT,"Electric Generators, Independent Power Producers",Petroleum,"2,824.00","2,732.00"
2003,CT,"Electric Generators, Independent Power Producers",Pumped Storage,7,4
2003,CT,Total Electric Power Industry,All Sources,"8,237.00","7,573.00"
2003,CT,Total Electric Power Industry,Coal,614,553
2003,CT,Total Electric Power Industry,Hydroelectric,142,146
2003,CT,Total Electric Power Industry,Natural Gas,"2,005.00","1,685.00"
2003,CT,Total Electric Power Industry,Nuclear,"2,163.00","1,997.00"
2003,CT,Total Electric Power Industry,Other,34,27
2003,CT,Total Electric Power Industry,Other Biomass,223,228
2003,CT,Total Electric Power Industry,Petroleum,"3,049.00","2,933.00"
2003,CT,Total Electric Power Industry,Pumped Storage,7,4
2003,DC,"Electric Generators, Independent Power Producers",All Sources,868,806
2003,DC,"Electric Generators, Independent Power Producers",Petroleum,868,806
2003,DC,Total Electric Power Industry,All Sources,868,806
2003,DC,Total Electric Power Industry,Petroleum,868,806
2003,DE,"Combined Heat and Power, Electric Power",All Sources,118,120
2003,DE,"Combined Heat and Power, Electric Power",Coal,18,16
2003,DE,"Combined Heat and Power, Electric Power",Natural Gas,100,104
2003,DE,"Combined Heat and Power, Industrial Power",All Sources,446,391
2003,DE,"Combined Heat and Power, Industrial Power",Coal,30,9
2003,DE,"Combined Heat and Power, Industrial Power",Natural Gas,92,79
2003,DE,"Combined Heat and Power, Industrial Power",Other Gases,324,303
2003,DE,"Electric Generators, Electric Utilities",All Sources,54,58
2003,DE,"Electric Generators, Electric Utilities",Natural Gas,45,49
2003,DE,"Electric Generators, Electric Utilities",Petroleum,9,9
2003,DE,"Electric Generators, Independent Power Producers",All Sources,"3,006.00","2,823.00"
2003,DE,"Electric Generators, Independent Power Producers",Coal,"1,034.00","1,027.00"
2003,DE,"Electric Generators, Independent Power Producers",Natural Gas,"1,193.00","1,060.00"
2003,DE,"Electric Generators, Independent Power Producers",Petroleum,778,736
2003,DE,Total Electric Power Industry,All Sources,"3,624.00","3,392.00"
2003,DE,Total Electric Power Industry,Coal,"1,082.00","1,052.00"
2003,DE,Total Electric Power Industry,Natural Gas,"1,430.00","1,293.00"
2003,DE,Total Electric Power Industry,Other Gases,324,303
2003,DE,Total Electric Power Industry,Petroleum,787,745
2003,FL,"Combined Heat and Power, Commercial Power",All Sources,29,28
2003,FL,"Combined Heat and Power, Commercial Power",Natural Gas,19,18
2003,FL,"Combined Heat and Power, Commercial Power",Other Biomass,10,10
2003,FL,"Combined Heat and Power, Electric Power",All Sources,"1,827.00","1,585.00"
2003,FL,"Combined Heat and Power, Electric Power",Coal,808,719
2003,FL,"Combined Heat and Power, Electric Power",Natural Gas,865,731
2003,FL,"Combined Heat and Power, Electric Power",Other Biomass,151,133
2003,FL,"Combined Heat and Power, Electric Power",Petroleum,2,2
2003,FL,"Combined Heat and Power, Industrial Power",All Sources,"1,393.00","1,239.00"
2003,FL,"Combined Heat and Power, Industrial Power",Coal,118,80
2003,FL,"Combined Heat and Power, Industrial Power",Natural Gas,468,423
2003,FL,"Combined Heat and Power, Industrial Power",Other,454,410
2003,FL,"Combined Heat and Power, Industrial Power",Other Biomass,68,63
2003,FL,"Combined Heat and Power, Industrial Power",Petroleum,17,15
2003,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,269,247
2003,FL,"Electric Generators, Electric Utilities",All Sources,"47,272.00","41,996.00"
2003,FL,"Electric Generators, Electric Utilities",Coal,"11,090.00","10,223.00"
2003,FL,"Electric Generators, Electric Utilities",Hydroelectric,42,50
2003,FL,"Electric Generators, Electric Utilities",Natural Gas,"20,944.00","17,751.00"
2003,FL,"Electric Generators, Electric Utilities",Nuclear,"4,110.00","3,902.00"
2003,FL,"Electric Generators, Electric Utilities",Other Biomass,9,8
2003,FL,"Electric Generators, Electric Utilities",Petroleum,"11,076.00","10,063.00"
2003,FL,"Electric Generators, Independent Power Producers",All Sources,"5,457.00","4,570.00"
2003,FL,"Electric Generators, Independent Power Producers",Natural Gas,"4,951.00","4,128.00"
2003,FL,"Electric Generators, Independent Power Producers",Other Biomass,437,375
2003,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,69,67
2003,FL,Total Electric Power Industry,All Sources,"55,977.00","49,419.00"
2003,FL,Total Electric Power Industry,Coal,"12,017.00","11,022.00"
2003,FL,Total Electric Power Industry,Hydroelectric,42,50
2003,FL,Total Electric Power Industry,Natural Gas,"27,247.00","23,051.00"
2003,FL,Total Electric Power Industry,Nuclear,"4,110.00","3,902.00"
2003,FL,Total Electric Power Industry,Other,454,410
2003,FL,Total Electric Power Industry,Other Biomass,675,589
2003,FL,Total Electric Power Industry,Petroleum,"11,095.00","10,080.00"
2003,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,337,314
2003,GA,"Combined Heat and Power, Commercial Power",All Sources,86,84
2003,GA,"Combined Heat and Power, Commercial Power",Petroleum,86,84
2003,GA,"Combined Heat and Power, Electric Power",All Sources,323,316
2003,GA,"Combined Heat and Power, Electric Power",Natural Gas,323,316
2003,GA,"Combined Heat and Power, Industrial Power",All Sources,"1,026.00",974
2003,GA,"Combined Heat and Power, Industrial Power",Coal,326,317
2003,GA,"Combined Heat and Power, Industrial Power",Hydroelectric,8,7
2003,GA,"Combined Heat and Power, Industrial Power",Natural Gas,111,105
2003,GA,"Combined Heat and Power, Industrial Power",Other Biomass,6,5
2003,GA,"Combined Heat and Power, Industrial Power",Petroleum,159,149
2003,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,417,392
2003,GA,"Electric Generators, Electric Utilities",All Sources,"26,246.00","24,804.00"
2003,GA,"Electric Generators, Electric Utilities",Coal,"14,439.00","13,331.00"
2003,GA,"Electric Generators, Electric Utilities",Hydroelectric,"2,002.00","2,097.00"
2003,GA,"Electric Generators, Electric Utilities",Natural Gas,"3,097.00","2,827.00"
2003,GA,"Electric Generators, Electric Utilities",Nuclear,"4,042.00","4,040.00"
2003,GA,"Electric Generators, Electric Utilities",Petroleum,"1,269.00","1,055.00"
2003,GA,"Electric Generators, Electric Utilities",Pumped Storage,"1,398.00","1,454.00"
2003,GA,"Electric Generators, Independent Power Producers",All Sources,"9,945.00","8,637.00"
2003,GA,"Electric Generators, Independent Power Producers",Hydroelectric,6,4
2003,GA,"Electric Generators, Independent Power Producers",Natural Gas,"9,856.00","8,557.00"
2003,GA,"Electric Generators, Independent Power Producers",Other Biomass,2,2
2003,GA,"Electric Generators, Independent Power Producers",Petroleum,80,74
2003,GA,Total Electric Power Industry,All Sources,"37,626.00","34,815.00"
2003,GA,Total Electric Power Industry,Coal,"14,765.00","13,648.00"
2003,GA,Total Electric Power Industry,Hydroelectric,"2,016.00","2,109.00"
2003,GA,Total Electric Power Industry,Natural Gas,"13,387.00","11,804.00"
2003,GA,Total Electric Power Industry,Nuclear,"4,042.00","4,040.00"
2003,GA,Total Electric Power Industry,Other Biomass,8,7
2003,GA,Total Electric Power Industry,Petroleum,"1,594.00","1,361.00"
2003,GA,Total Electric Power Industry,Pumped Storage,"1,398.00","1,454.00"
2003,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,417,392
2003,HI,"Combined Heat and Power, Electric Power",All Sources,638,489
2003,HI,"Combined Heat and Power, Electric Power",Coal,227,202
2003,HI,"Combined Heat and Power, Electric Power",Other Biomass,46,46
2003,HI,"Combined Heat and Power, Electric Power",Petroleum,365,241
2003,HI,"Combined Heat and Power, Industrial Power",All Sources,40,38
2003,HI,"Combined Heat and Power, Industrial Power",Hydroelectric,6,5
2003,HI,"Combined Heat and Power, Industrial Power",Other Biomass,4,3
2003,HI,"Combined Heat and Power, Industrial Power",Other Gases,9,9
2003,HI,"Combined Heat and Power, Industrial Power",Petroleum,21,21
2003,HI,"Electric Generators, Electric Utilities",All Sources,"1,706.00","1,624.00"
2003,HI,"Electric Generators, Electric Utilities",Hydroelectric,2,2
2003,HI,"Electric Generators, Electric Utilities",Petroleum,"1,702.00","1,620.00"
2003,HI,"Electric Generators, Electric Utilities",Wind,2,2
2003,HI,"Electric Generators, Independent Power Producers",All Sources,124,117
2003,HI,"Electric Generators, Independent Power Producers",Geothermal,35,33
2003,HI,"Electric Generators, Independent Power Producers",Hydroelectric,16,15
2003,HI,"Electric Generators, Independent Power Producers",Other Biomass,64,60
2003,HI,"Electric Generators, Independent Power Producers",Wind,9,9
2003,HI,Total Electric Power Industry,All Sources,"2,508.00","2,268.00"
2003,HI,Total Electric Power Industry,Coal,227,202
2003,HI,Total Electric Power Industry,Geothermal,35,33
2003,HI,Total Electric Power Industry,Hydroelectric,23,22
