"Existing Nameplate and Net Summer Capacity by Energy Source, Producer Type and State, 2003-2023",,,,,
Year,State,ProducerType,FuelSource,Nameplate_Capacity_(Megawatts),Summer_Capacity_(Megawatts)
2003,CT,"Electric Generators, Electric Utilities",Hydroelectric,9.0,9.0
2003,CT,"Electric Generators, Electric Utilities",Petroleum,225.0,201.0
2003,CT,"Electric Generators, Independent Power Producers",All Sources,"7,563.0","6,995.0"
2003,CT,"Electric Generators, Independent Power Producers",Coal,400.0,372.0
2003,CT,"Electric Generators, Independent Power Producers",Hydroelectric,133.0,137.0
2003,CT,"Electric Generators, Independent Power Producers",Natural Gas,"1,782.0","1,499.0"
2003,CT,"Electric Generators, Independent Power Producers",Nuclear,"2,163.0","1,997.0"
2003,CT,"Electric Generators, Independent Power Producers",Other,31.0,26.0
2003,CT,"Electric Generators, Independent Power Producers",Other Biomass,223.0,228.0
2003,CT,"Electric Generators, Independent Power Producers",Petroleum,"2,824.0","2,732.0"
2003,CT,"Electric Generators, Independent Power Producers",Pumped Storage,7.0,4.0
2003,CT,Total Electric Power Industry,All Sources,"8,237.0","7,573.0"
2003,CT,Total Electric Power Industry,Coal,614.0,553.0
2003,CT,Total Electric Power Industry,Hydroelectric,142.0,146.0
2003,CT,Total Electric Power Industry,Natural Gas,"2,005.0","1,685.0"
2003,CT,Total Electric Power Industry,Nuclear,"2,163.0","1,997.0"
2003,CT,Total Electric Power Industry,Other,34.0,27.0
2003,CT,Total Electric Power Industry,Other Biomass,223.0,228.0
2003,CT,Total Electric Power Industry,Petroleum,"3,049.0","2,933.0"
2003,CT,Total Electric Power Industry,Pumped Storage,7.0,4.0
2003,DC,"Electric Generators, Independent Power Producers",All Sources,868.0,806.0
2003,DC,"Electric Generators, Independent Power Producers",Petroleum,868.0,806.0
2003,DC,Total Electric Power Industry,All Sources,868.0,806.0
2003,DC,Total Electric Power Industry,Petroleum,868.0,806.0
2003,DE,"Combined Heat and Power, Electric Power",All Sources,118.0,120.0
2003,DE,"Combined Heat and Power, Electric Power",Coal,18.0,16.0
2003,DE,"Combined Heat and Power, Electric Power",Natural Gas,100.0,104.0
2003,DE,"Combined Heat and Power, Industrial Power",All Sources,446.0,391.0
2003,DE,"Combined Heat and Power, Industrial Power",Coal,30.0,9.0
2003,DE,"Combined Heat and Power, Industrial Power",Natural Gas,92.0,79.0
2003,DE,"Combined Heat and Power, Industrial Power",Other Gases,324.0,303.0
2003,DE,"Electric Generators, Electric Utilities",All Sources,54.0,58.0
2003,DE,"Electric Generators, Electric Utilities",Natural Gas,45.0,49.0
2003,DE,"Electric Generators, Electric Utilities",Petroleum,9.0,9.0
2003,DE,"Electric Generators, Independent Power Producers",All Sources,"3,006.0","2,823.0"
2003,DE,"Electric Generators, Independent Power Producers",Coal,"1,034.0","1,027.0"
2003,DE,"Electric Generators, Independent Power Producers",Natural Gas,"1,193.0","1,060.0"
2003,DE,"Electric Generators, Independent Power Producers",Petroleum,778.0,736.0
2003,DE,Total Electric Power Industry,All Sources,"3,624.0","3,392.0"
2003,DE,Total Electric Power Industry,Coal,"1,082.0","1,052.0"
2003,DE,Total Electric Power Industry,Natural Gas,"1,430.0","1,293.0"
2003,DE,Total Electric Power Industry,Other Gases,324.0,303.0
2003,DE,Total Electric Power Industry,Petroleum,787.0,745.0
2003,FL,"Combined Heat and Power, Commercial Power",All Sources,29.0,28.0
2003,FL,"Combined Heat and Power, Commercial Power",Natural Gas,19.0,18.0
2003,FL,"Combined Heat and Power, Commercial Power",Other Biomass,10.0,10.0
2003,FL,"Combined Heat and Power, Electric Power",All Sources,"1,827.0","1,585.0"
2003,FL,"Combined Heat and Power, Electric Power",Coal,808.0,719.0
2003,FL,"Combined Heat and Power, Electric Power",Natural Gas,865.0,731.0
2003,FL,"Combined Heat and Power, Electric Power",Other Biomass,151.0,133.0
2003,FL,"Combined Heat and Power, Electric Power",Petroleum,2.0,2.0
2003,FL,"Combined Heat and Power, Industrial Power",All Sources,"1,393.0","1,239.0"
2003,FL,"Combined Heat and Power, Industrial Power",Coal,118.0,80.0
2003,FL,"Combined Heat and Power, Industrial Power",Natural Gas,468.0,423.0
2003,FL,"Combined Heat and Power, Industrial Power",Other,454.0,410.0
2003,FL,"Combined Heat and Power, Industrial Power",Other Biomass,68.0,63.0
2003,FL,"Combined Heat and Power, Industrial Power",Petroleum,17.0,15.0
2003,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,269.0,247.0
2003,FL,"Electric Generators, Electric Utilities",All Sources,"47,272.0","41,996.0"
2003,FL,"Electric Generators, Electric Utilities",Coal,"11,090.0","10,223.0"
2003,FL,"Electric Generators, Electric Utilities",Hydroelectric,42.0,50.0
2003,FL,"Electric Generators, Electric Utilities",Natural Gas,"20,944.0","17,751.0"
2003,FL,"Electric Generators, Electric Utilities",Nuclear,"4,110.0","3,902.0"
2003,FL,"Electric Generators, Electric Utilities",Other Biomass,9.0,8.0
2003,FL,"Electric Generators, Electric Utilities",Petroleum,"11,076.0","10,063.0"
2003,FL,"Electric Generators, Independent Power Producers",All Sources,"5,457.0","4,570.0"
2003,FL,"Electric Generators, Independent Power Producers",Natural Gas,"4,951.0","4,128.0"
2003,FL,"Electric Generators, Independent Power Producers",Other Biomass,437.0,375.0
2003,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,69.0,67.0
2003,FL,Total Electric Power Industry,All Sources,"55,977.0","49,419.0"
2003,FL,Total Electric Power Industry,Coal,"12,017.0","11,022.0"
2003,FL,Total Electric Power Industry,Hydroelectric,42.0,50.0
2003,FL,Total Electric Power Industry,Natural Gas,"27,247.0","23,051.0"
2003,FL,Total Electric Power Industry,Nuclear,"4,110.0","3,902.0"
2003,FL,Total Electric Power Industry,Other,454.0,410.0
2003,FL,Total Electric Power Industry,Other Biomass,675.0,589.0
2003,FL,Total Electric Power Industry,Petroleum,"11,095.0","10,080.0"
2003,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,337.0,314.0
2003,GA,"Combined Heat and Power, Commercial Power",All Sources,86.0,84.0
2003,GA,"Combined Heat and Power, Commercial Power",Petroleum,86.0,84.0
2003,GA,"Combined Heat and Power, Electric Power",All Sources,323.0,316.0
2003,GA,"Combined Heat and Power, Electric Power",Natural Gas,323.0,316.0
2003,GA,"Combined Heat and Power, Industrial Power",All Sources,"1,026.0",974.0
2003,GA,"Combined Heat and Power, Industrial Power",Coal,326.0,317.0
2003,GA,"Combined Heat and Power, Industrial Power",Hydroelectric,8.0,7.0
2003,GA,"Combined Heat and Power, Industrial Power",Natural Gas,111.0,105.0
2003,GA,"Combined Heat and Power, Industrial Power",Other Biomass,6.0,5.0
2003,GA,"Combined Heat and Power, Industrial Power",Petroleum,159.0,149.0
2003,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,417.0,392.0
2003,GA,"Electric Generators, Electric Utilities",All Sources,"26,246.0","24,804.0"
2003,GA,"Electric Generators, Electric Utilities",Coal,"14,439.0","13,331.0"
2003,GA,"Electric Generators, Electric Utilities",Hydroelectric,"2,002.0","2,097.0"
2003,GA,"Electric Generators, Electric Utilities",Natural Gas,"3,097.0","2,827.0"
2003,GA,"Electric Generators, Electric Utilities",Nuclear,"4,042.0","4,040.0"
2003,GA,"Electric Generators, Electric Utilities",Petroleum,"1,269.0","1,055.0"
2003,GA,"Electric Generators, Electric Utilities",Pumped Storage,"1,398.0","1,454.0"
2003,GA,"Electric Generators, Independent Power Producers",All Sources,"9,945.0","8,637.0"
2003,GA,"Electric Generators, Independent Power Producers",Hydroelectric,6.0,4.0
2003,GA,"Electric Generators, Independent Power Producers",Natural Gas,"9,856.0","8,557.0"
2003,GA,"Electric Generators, Independent Power Producers",Other Biomass,2.0,2.0
2003,GA,"Electric Generators, Independent Power Producers",Petroleum,80.0,74.0
2003,GA,Total Electric Power Industry,All Sources,"37,626.0","34,815.0"
2003,GA,Total Electric Power Industry,Coal,"14,765.0","13,648.0"
2003,GA,Total Electric Power Industry,Hydroelectric,"2,016.0","2,109.0"
2003,GA,Total Electric Power Industry,Natural Gas,"13,387.0","11,804.0"
2003,GA,Total Electric Power Industry,Nuclear,"4,042.0","4,040.0"
2003,GA,Total Electric Power Industry,Other Biomass,8.0,7.0
2003,GA,Total Electric Power Industry,Petroleum,"1,594.0","1,361.0"
2003,GA,Total Electric Power Industry,Pumped Storage,"1,398.0","1,454.0"
2003,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,417.0,392.0
2003,HI,"Combined Heat and Power, Electric Power",All Sources,638.0,489.0
2003,HI,"Combined Heat and Power, Electric Power",Coal,227.0,202.0
2003,HI,"Combined Heat and Power, Electric Power",Other Biomass,46.0,46.0
2003,HI,"Combined Heat and Power, Electric Power",Petroleum,365.0,241.0
2003,HI,"Combined Heat and Power, Industrial Power",All Sources,40.0,38.0
2003,HI,"Combined Heat and Power, Industrial Power",Hydroelectric,6.0,5.0
2003,HI,"Combined Heat and Power, Industrial Power",Other Biomass,4.0,3.0
2003,HI,"Combined Heat and Power, Industrial Power",Other Gases,9.0,9.0
2003,HI,"Combined Heat and Power, Industrial Power",Petroleum,21.0,21.0
2003,HI,"Electric Generators, Electric Utilities",All Sources,"1,706.0","1,624.0"
2003,HI,"Electric Generators, Electric Utilities",Hydroelectric,2.0,2.0
2003,HI,"Electric Generators, Electric Utilities",Petroleum,"1,702.0","1,620.0"
2003,HI,"Electric Generators, Electric Utilities",Wind,2.0,2.0
2003,HI,"Electric Generators, Independent Power Producers",All Sources,124.0,117.0
2003,HI,"Electric Generators, Independent Power Producers",Geothermal,35.0,33.0
2003,HI,"Electric Generators, Independent Power Producers",Hydroelectric,16.0,15.0
2003,HI,"Electric Generators, Independent Power Producers",Other Biomass,64.0,60.0
2003,HI,"Electric Generators, Independent Power Producers",Wind,9.0,9.0
2003,HI,Total Electric Power Industry,All Sources,"2,508.0","2,268.0"
2003,HI,Total Electric Power Industry,Coal,227.0,202.0
2003,HI,Total Electric Power Industry,Geothermal,35.0,33.0
2003,HI,Total Electric Power Industry,Hydroelectric,23.0,22.0
2003,HI,Total Electric Power Industry,Other Biomass,114.0,109.0
2003,HI,Total Electric Power Industry,Other Gases,9.0,9.0
2003,HI,Total Electric Power Industry,Petroleum,"2,089.0","1,882.0"
2003,HI,Total Electric Power Industry,Wind,11.0,11.0
2003,IA,"Combined Heat and Power, Commercial Power",All Sources,71.0,71.0
2003,IA,"Combined Heat and Power, Commercial Power",Coal,62.0,63.0
2003,IA,"Combined Heat and Power, Commercial Power",Natural Gas,4.0,4.0
2003,IA,"Combined Heat and Power, Commercial Power",Other Biomass,3.0,3.0
2003,IA,"Combined Heat and Power, Commercial Power",Petroleum,2.0,2.0
2003,IA,"Combined Heat and Power, Industrial Power",All Sources,371.0,365.0
2003,IA,"Combined Heat and Power, Industrial Power",Coal,362.0,357.0
2003,IA,"Combined Heat and Power, Industrial Power",Petroleum,9.0,8.0
2003,IA,"Electric Generators, Electric Utilities",All Sources,"9,705.0","9,093.0"
2003,IA,"Electric Generators, Electric Utilities",Coal,"5,946.0","5,666.0"
2003,IA,"Electric Generators, Electric Utilities",Hydroelectric,129.0,136.0
2003,IA,"Electric Generators, Electric Utilities",Natural Gas,"1,953.0","1,710.0"
2003,IA,"Electric Generators, Electric Utilities",Nuclear,597.0,562.0
2003,IA,"Electric Generators, Electric Utilities",Other Biomass,98.0,103.0
2003,IA,"Electric Generators, Electric Utilities",Petroleum,977.0,912.0
2003,IA,"Electric Generators, Electric Utilities",Wind,6.0,4.0
2003,IA,"Electric Generators, Independent Power Producers",All Sources,544.0,544.0
2003,IA,"Electric Generators, Independent Power Producers",Hydroelectric,2.0,2.0
2003,IA,"Electric Generators, Independent Power Producers",Natural Gas,1.0,1.0
2003,IA,"Electric Generators, Independent Power Producers",Other Biomass,6.0,6.0
2003,IA,"Electric Generators, Independent Power Producers",Petroleum,78.0,79.0
2003,IA,"Electric Generators, Independent Power Producers",Wind,456.0,456.0
2003,IA,Total Electric Power Industry,All Sources,"10,691.0","10,074.0"
2003,IA,Total Electric Power Industry,Coal,"6,370.0","6,086.0"
2003,IA,Total Electric Power Industry,Hydroelectric,131.0,138.0
2003,IA,Total Electric Power Industry,Natural Gas,"1,958.0","1,715.0"
2003,IA,Total Electric Power Industry,Nuclear,597.0,562.0
2003,IA,Total Electric Power Industry,Other Biomass,108.0,113.0
2003,IA,Total Electric Power Industry,Petroleum,"1,066.0","1,000.0"
2003,IA,Total Electric Power Industry,Wind,462.0,460.0
2003,ID,"Combined Heat and Power, Electric Power",All Sources,33.0,32.0
2003,ID,"Combined Heat and Power, Electric Power",Natural Gas,21.0,21.0
2003,ID,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,12.0,12.0
